"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"A_32_P182812",-5.01795291807692,4.33711231211538,-15.9584828258598,6.61766954953441e-30,2.0753375982728e-27,57.5427117526108
"A_33_P3413905",2.73818527115387,5.54849589326923,15.955169917329,6.721429964823e-30,2.08871491352313e-27,57.5272968042262
"A_33_P3395688",-3.71532081346153,5.33189017788462,-15.9522339676021,6.81475070939393e-30,2.09863624774066e-27,57.5136346814277
"A_23_P44363",-1.93843385192306,8.34745953365385,-15.9349250041833,7.39202704703925e-30,2.25608625490127e-27,57.4330671137623
"A_33_P3226212",-2.55879470576921,8.33270620480769,-15.9301679806726,7.5591263209761e-30,2.28666915955687e-27,57.4109180794159
"A_23_P303833",-3.22839814999998,9.38773383846154,-15.917547837854,8.02107322807866e-30,2.40512584346853e-27,57.3521439350436
"A_23_P145054",-3.20383518653844,9.50057633942308,-15.890834514093,9.09471975748442e-30,2.70268412447481e-27,57.2276690093586
"A_24_P251599",-2.86289672884613,8.45937748173077,-15.8890461385694,9.17155774622117e-30,2.70268412447481e-27,57.2193325710035
"A_23_P85441",3.44270343846156,6.85184817884615,15.8727790623492,9.90115437338618e-30,2.8927449567988e-27,57.1434857150364
"A_23_P382065",-2.66561766730767,9.65565816634615,-15.8685594220557,1.00997642325692e-29,2.92576475221961e-27,57.1238057641423
"A_23_P7313",5.11672167692311,10.6833931423077,15.8220663092826,1.25722054207706e-29,3.59807126385051e-27,56.9068180789489
"A_24_P109652",-1.45543701923074,9.65715471153846,-15.8210748003164,1.26310900641272e-29,3.59807126385051e-27,56.9021876453587
"A_23_P105562",-2.46076627884612,11.9855916778846,-15.816350286221,1.29155057865005e-29,3.64868375454501e-27,56.8801220495231
"A_23_P205713",-2.98962214999998,8.24303909807692,-15.8052372861486,1.36101616253117e-29,3.81341110522975e-27,56.8282082755756
"A_23_P416774",-4.1522422730769,10.9084205846154,-15.7471497200416,1.79017169733017e-29,4.94150744299392e-27,56.5566023742451
"A_32_P166693",-2.06502661538459,11.7951195961538,-15.7468687095701,1.79254870237032e-29,4.94150744299392e-27,56.5552873937945
"A_33_P3849275",-3.13615538653844,9.46120177788461,-15.7374487066197,1.87409375547551e-29,5.12497174747355e-27,56.5112010188325
"A_24_P187774",-2.94923484807691,6.25138460288461,-15.7123316595193,2.11022780342335e-29,5.72491404796988e-27,56.3935967380103
"A_23_P208870",2.55546735384618,7.36813274807692,15.7023547567749,2.21212892990424e-29,5.91054254650778e-27,56.3468604184151
"A_23_P426305",-2.73431399999997,11.1336539038462,-15.7022492066286,2.21323302797588e-29,5.91054254650778e-27,56.3463659070974
"A_33_P3242503",-3.68259850903845,4.27603308201923,-15.6813479189153,2.44315884174287e-29,6.47399214630206e-27,56.2484140879389
"A_23_P127891",-3.68481196730769,4.44018293942308,-15.667555062074,2.60789785256136e-29,6.85736709954654e-27,56.1837452412304
"A_24_P925040",-2.70511873846151,9.64339493846154,-15.6345619388418,3.04873393470879e-29,7.95533374733975e-27,56.0289578689861
"A_24_P12626",-2.9327742980769,11.3266794182692,-15.5979244736442,3.62667436846158e-29,9.39171287402442e-27,55.8569135475626
"A_23_P129144",-3.67003159999999,5.98096221923077,-15.5250511679544,5.12474302736546e-29,1.31713602183785e-26,55.514212993358
"A_23_P30294",-3.07534800576922,6.82053716057692,-15.4971250915874,5.85182675058525e-29,1.49278353593474e-26,55.3827100774826
"A_33_P3369760",-1.83846842115383,9.8018308375,-15.4950474084943,5.90989758709937e-29,1.49642984607273e-26,55.3729224661486
"A_23_P355517",-3.11346224230769,3.97909827884615,-15.4723911677692,6.58201647078818e-29,1.6411788553922e-26,55.2661579752194
"A_23_P120504",-2.27303983846152,6.80447231346154,-15.4718344862708,6.59946458997874e-29,1.6411788553922e-26,55.2635338863394
"A_23_P154522",1.35389063653848,7.20473492788462,15.4710035874978,6.62559406851719e-29,1.6411788553922e-26,55.2596171187441
"A_33_P3610406",-3.87152678461537,7.26845060576923,-15.4666028821346,6.76572840021111e-29,1.66383376909652e-26,55.238871237858
"A_32_P189592",-2.83057645384614,5.67114848461538,-15.4444957728084,7.51610191783806e-29,1.8351636561247e-26,55.1346171831066
"A_23_P252471",-1.89723300961536,11.5373936201923,-15.4418225258334,7.61233546802051e-29,1.84547846314429e-26,55.1220064160258
"A_23_P144384",1.85284653846157,8.92007068269231,15.4318589671935,7.98205355389614e-29,1.92148265234388e-26,55.0749965556807
"A_32_P310335",-2.20586243653844,7.48878135673077,-15.3923773535668,9.63346838326107e-29,2.30280314507002e-26,54.8885943869118
"A_33_P3251901",-2.11442818846152,7.86171595,-15.3633783990565,1.10616400373688e-28,2.62583362081513e-26,54.7515606289499
"A_23_P99253",-2.65179039230768,5.24754471538462,-15.3537594747581,1.15809303249432e-28,2.73014442274162e-26,54.7060837412268
"A_24_P194881",-2.17802576923074,10.8653910480769,-15.3463134477153,1.1999687474942e-28,2.79846373301711e-26,54.6708721624316
"A_24_P90216",2.35955766346157,9.00750367403846,15.3457068279267,1.20344665112341e-28,2.79846373301711e-26,54.6680032119478
"A_23_P132763",-2.67609984423075,9.20895116442308,-15.341235298379,1.22939766499771e-28,2.83949326909572e-26,54.6468541394824
"A_33_P3312466",-4.25452994615382,9.96193909423077,-15.3250092407629,1.32838364577879e-28,3.03071272267319e-26,54.5700887756478
"A_33_P3210561",-2.26402480769228,11.1622720288462,-15.3247669286023,1.3299210379457e-28,3.03071272267319e-26,54.5689421527609
"A_23_P10121",-3.79184538269229,6.99874500865385,-15.3038867812265,1.46934552419786e-28,3.30622019310218e-26,54.4701100006846
"A_23_P119835",-2.4906932230769,6.90148157307692,-15.3037704699836,1.47016197920467e-28,3.30622019310218e-26,54.4695593135949
"A_23_P118254",-2.73994357115382,8.60902069519231,-15.2731509839164,1.70176944990917e-28,3.80206438602909e-26,54.32453048264
"A_23_P26557",2.31026451153848,5.79728120192308,15.2132433983805,2.26647514073522e-28,5.03083894388001e-26,54.0404461573246
